OLD,NEW,NEW (in new domain),Permanent,Notes
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/submitting-the-limit-order,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/front-end/creating-app-ids/create-the-order-meta-data-file/additional-order-preferences,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/creating-app-ids/create-the-order-meta-data-file/appcode,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/front-end/creating-app-ids/create-the-order-meta-data-file/metadata,https://learn.cow.fi/tutorial/simple-app-data,https://learn.cow.fi/tutorial/simple-app-data,Y,
https://docs.cow.fi/overview/cow-hooks/cow-hooks-example/conclusion,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,New content coming soon (TM)
https://docs.cow.fi/overview/cow-hooks/cow-hooks-example/configuration,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,New content coming soon (TM)
https://docs.cow.fi/overview/cow-hooks/cow-hooks-example/permit-swap-and-bridge-cow-hook,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,New content coming soon (TM)
https://docs.cow.fi/overview/cow-hooks/cow-hooks-example/requirements,https://learn.cow.fi/tutorial/getting-started-order,https://learn.cow.fi/tutorial/getting-started-order,N,New content coming soon (TM)
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/submitting-the-limit-order/1.-setting-allowance-for-the-sell-token,https://learn.cow.fi/tutorial/approve-sell-token-order,https://learn.cow.fi/tutorial/approve-sell-token-order,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/submitting-the-limit-order/2.-signing-the-limit-order,https://learn.cow.fi/tutorial/sign-order,https://learn.cow.fi/tutorial/sign-order,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/submitting-the-limit-order/3.-placing-the-limit-order,https://learn.cow.fi/tutorial/submit-order,https://learn.cow.fi/tutorial/submit-order,Y,
https://docs.cow.fi/tutorials/submit-limit-orders-via-api/submitting-the-limit-order/4.-checking-limit-order-status,https://learn.cow.fi/tutorial/view-order,https://learn.cow.fi/tutorial/view-order,Y,
https://docs.cow.fi/tutorials/how-to-write-a-solver,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/tutorials/solver-workshop,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
https://docs.cow.fi/tutorials/how-to-test-a-solver-locally,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,N,
http://docs.cow.fi/smart-contracts/eth-flow-contract,https://beta.docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,https://docs.cow.fi/cow-protocol/reference/contracts/periphery/eth-flow,Y,
https://docs.cow.fi/overview-1/coincidence-of-wants,https://beta.docs.cow.fi/cow-protocol/concepts/how-it-works/coincidence-of-wants,https://docs.cow.fi/cow-protocol/concepts/how-it-works/coincidence-of-wants,Y,
https://docs.cow.fi/off-chain-services/in-depth-solver-specification/slippage-accounting,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/slippage,https://docs.cow.fi/cow-protocol/reference/core/auctions/slippage,Y,
https://docs.cow.fi/off-chain-services/in-depth-solver-specification/appendix-token-conservation-per-order-aka-local-token-conservation,https://beta.docs.cow.fi/cow-protocol/reference/core/auctions/competition-rules,https://docs.cow.fi/cow-protocol/reference/core/auctions/competition-rules,Y,
https://docs.cow.fi/off-chain-services/in-depth-solver-specification/getting-notified-about-the-ranking,https://beta.docs.cow.fi/cow-protocol/tutorials/solvers,https://docs.cow.fi/cow-protocol/tutorials/solvers,Y,
